symbol,description,asset_class,category_name,group_name,currency,currency_profit,ticker,market,market_name,precision,contract_size,leverage,long_only,short_selling,margin_mode,instrument_type
ADM.US,Archer-Daniels-Midland Co,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADM,US,United States,,,,,,,
ADMA.US,"ADMA BIOLOGICS, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADMA,US,United States,,,,,,,
ADMG.US,ADAMANT DRI PROCESSING & MINERALS GROUP,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADMG,US,United States,,,,,,,
ADMQ.US,"ADM ENDEAVORS, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADMQ,US,United States,,,,,,,
ADMT.US,"ADM TRONICS UNLIMITED, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADMT,US,United States,,,,,,,
ADNH.US,"ADVENT TECHNOLOGIES HOLDINGS, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADNH,US,United States,,,,,,,
ADNT.US,Adient plc,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADNT,US,United States,,,,,,,
ADOOY.US,Adaro Energy PT/ADR/,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADOOY,US,United States,,,,,,,
ADP.US,AUTOMATIC DATA PROCESSING INC,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADP,US,United States,,,,,,,
ADPT.US,Adaptive Biotechnologies Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADPT,US,United States,,,,,,,
ADSE.US,Ads-Tec Energy Public Ltd Co,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADSE,US,United States,,,,,,,
ADSEW.US,Ads-Tec Energy Public Ltd Co,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADSEW,US,United States,,,,,,,
ADSK.US,"Autodesk, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADSK,US,United States,,,,,,,
ADT.US,ADT Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADT,US,United States,,,,,,,
ADTI.US,"Adapti, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADTI,US,United States,,,,,,,
ADTN.US,"ADTRAN Holdings, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADTN,US,United States,,,,,,,
ADTTF.US,ADVANTEST CORP,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADTTF,US,United States,,,,,,,
ADTX.US,"Aditxt, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADTX,US,United States,,,,,,,
ADUR.US,ADURO CLEAN TECHNOLOGIES INC.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADUR,US,United States,,,,,,,
ADUS.US,Addus HomeCare Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADUS,US,United States,,,,,,,
ADV.US,Advantage Solutions Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADV,US,United States,,,,,,,
ADVB.US,Advanced Biomed Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADVB,US,United States,,,,,,,
ADX.US,"ADAMS DIVERSIFIED EQUITY FUND, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADX,US,United States,,,,,,,
ADXN.US,Addex Therapeutics Ltd.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADXN,US,United States,,,,,,,
ADYYF.US,Adyen N.V./ADR,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADYYF,US,United States,,,,,,,
ADZCF.US,DEUTSCHE BANK AKTIENGESELLSCHAFT,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADZCF,US,United States,,,,,,,
AEAE.US,AltEnergy Acquisition Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AEAE,US,United States,,,,,,,
AEAEU.US,AltEnergy Acquisition Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AEAEU,US,United States,,,,,,,
AEAEW.US,AltEnergy Acquisition Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AEAEW,US,United States,,,,,,,
AEAQ.US,Activate Energy Acquisition Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AEAQ,US,United States,,,,,,,
AEAQU.US,Activate Energy Acquisition Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AEAQU,US,United States,,,,,,,
AEAQW.US,Activate Energy Acquisition Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AEAQW,US,United States,,,,,,,
AEBI.US,Aebi Schmidt Holding AG,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AEBI,US,United States,,,,,,,
