symbol,description,asset_class,category_name,group_name,currency,currency_profit,ticker,market,market_name,precision,contract_size,leverage,long_only,short_selling,margin_mode,instrument_type
CAR.PL,INTER CARS SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CAR,PL,Poland (GPW),,,,,,,
CAV.PL,CAVATINA HOLDING SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CAV,PL,Poland (GPW),,,,,,,
CBF.PL,CYBER_FOLKS SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CBF,PL,Poland (GPW),,,,,,,
CCE.PL,CLEAN&CARBON ENERGY SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CCE,PL,Poland (GPW),,,,,,,
CDL.PL,CDRL SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CDL,PL,Poland (GPW),,,,,,,
CDR.PL,CD PROJEKT RED SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CDR,PL,Poland (GPW),,,,,,,
CEZ.PL,ČEZ. A.S.,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CEZ,PL,Poland (GPW),,,,,,,
CFI.PL,CFI HOLDING SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CFI,PL,Poland (GPW),,,,,,,
CIG.PL,CI GAMES SPÓŁKA EUROPEJSKA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CIG,PL,Poland (GPW),,,,,,,
CLC.PL,COLUMBUS ENERGY SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CLC,PL,Poland (GPW),,,,,,,
CLD.PL,CLOUD TECHNOLOGIES SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CLD,PL,Poland (GPW),,,,,,,
CLE.PL,COAL ENERGY S.A.,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CLE,PL,Poland (GPW),,,,,,,
CLN.PL,CELON PHARMA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CLN,PL,Poland (GPW),,,,,,,
CMP.PL,COMP SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CMP,PL,Poland (GPW),,,,,,,
COG.PL,COGNOR HOLDING SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,COG,PL,Poland (GPW),,,,,,,
CPD.PL,CPD SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CPD,PL,Poland (GPW),,,,,,,
CPI.PL,CPI EUROPE AG,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CPI,PL,Poland (GPW),,,,,,,
CPL.PL,COMPERIA.PL SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CPL,PL,Poland (GPW),,,,,,,
CPR.PL,COMPREMUM SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CPR,PL,Poland (GPW),,,,,,,
